Mario Lemina,13664,Central midfielder,"Libreville, Gabon"
Lamine Sakho,410,"Winger, striker","Dakar, Senegal"
Gaëtan Huard,110,Goalkeeper,"Montargis, France"
Fabien Laurenti,44,Defender,"Marseille, France"
Serge Blanc,106,Defender,"Lyon, France"
Konstantinos Mitroglou,4047,Striker,"Krinides, Greece"
Luis Henrique,5096,Forward,"João Pessoa, Brazil"
Yuto Nagatomo,11706,Full back,"Saijō, Ehime, Japan"
Alfonso Pérez,2132,Striker,"Getafe, Spain"
Boštjan Cesar,1313,Centre-back,"Ljubljana, SFR Yugoslavia"
Lorik Cana,4740,"Centre-back, Defensive midfielder,Central midfielder","Pristina, SFR Yugoslavia (now Kosovo)"
Renato Civelli,296,Centre-back,"Pehuajó, Argentina"
Laurent Merlin,52,Midfielder,"Marseille, France"
Duje Ćaleta-Car,8193,Centre-back,"Šibenik, Croatia"
Mario Balotelli,134454,Striker,"Palermo, Italy"
Éric Roy,283,Midfielder,"Nice, France"
Jean-Louis Zanon,63,Midfielder,"Montauban, France"
Zoumana Camara,1573,Centre-back,"Colombes, France"
Jordan Ayew,18550,"Forward, midfielder","Marseille, France"
Bakari Koné,1271,Winger,"Abidjan, Ivory Coast"
Rod Fanni,1775,Centre-back,"Martigues, France"
Yordan Letchkov,1620,Midfielder,"Sliven, Bulgaria"
Saber Khalifa,704,Striker,"Gabès, Tunisia"
Wilson Oruma,1442,Right midfielder,"Warri, Nigeria"
Eduardo Tuzzio,144,Centre back,"Buenos Aires, Argentina"
Gaël Givet,1335,Defender,"Arles, France"
Bixente Lizarazu,11018,Left back,"Saint-Jean-de-Luz, France"
Manuel Amoros,2276,Right-back,"Nîmes, France"
Isaac Lihadji,3053,Forward,"Marseille, France"
Jean-Pierre Papin,13639,Striker,"Boulogne-sur-Mer, France"
Pablo Calandria,123,Striker,"Ituzaingó, Argentina"
Michel Gafour,64,Midfielder,"Toulon, France"
Christopher Rocchia,694,Left-back,"Marseille, France"
Elamine Erbate,85,Defender,"Fnideq, Morocco"
Jean-Marc Ferreri,416,Attacking midfielder,"Charlieu, France"
François Lemasson,30,Goalkeeper,"Limoges, France"
Loris Reina,27,Defender,"Marseille, France"
Cheick Souaré,417,Midfielder,"Arras, France"
Bafétimbi Gomis,18866,Striker,"La Seyne-sur-Mer, France"
Joseph-Antoine Bell,1045,Goalkeeper,"Mouandé, Cameroon"
Salim Arrache,92,Left winger,"Marseille, France"
Toifilou Maoulida,299,Striker  Winger,"Dzaoudzi, Mayotte, France"
Martial Robin,73,"Midfielder, left-back","Marseille, France"
Dimas,476,Left back,"Johannesburg, South Africa"
Xavier Gravelaine,249,"Attacking midfielder, forward","Tours, France"
Laurent Blanc,29452,Centre-back,"Alès, France"
Eduardo Costa,459,Defensive midfielder,"Florianópolis, Brazil"
Trevor Steven,3880,Right midfielderWinger,"Berwick-upon-Tweed, England"
Mattéo Guendouzi,19006,Midfielder,"Poissy, France"
Sonny Anderson,4985,Striker,"Goiatuba, Brazil"
Dill,78,Forward,"São Luís, Brazil"
Mohamed Dennoun,58,Midfielder,"Marseille, France"
Brice Samba,5694,Goalkeeper,"Linzolo, Republic of the Congo"
Cyril Domoraud,621,Defender,"Lakota, Ivory Coast"
Antoine Rabillard,378,Forward,"Rodez, France"
Dimitri Payet,32702,Attacking midfielder,"Saint-Pierre, Réunion"
Robert Pires,18681,"Winger, attacking midfielder","Reims, France"
Bernard Casoni,559,"Centre back, left back","Cannes, France"
Karim Dahou,60,Attacking midfielder,"Orange, France"
Jonathan Clauss,4588,Right-back,"Troyes, France"
Bernard Pardo,74,Midfielder,"Gardanne, Bouches-du-Rhône, France"
Modeste M'bami,543,Midfielder,"Yaoundé, Cameroon"
Gaël Andonian,691,Centre-back,"Marseille, France"
Frédéric Déhu,598,Centre back,"Villeparisis, France"
Jérôme Perez,4,Defender,"Avignon, France"
Eric Bailly,26267,Centre-back,"Bingerville, Ivory Coast"
Chris Waddle,12971,"Winger, attacking midfielder","Felling, England"
Fabrice Fernandes,531,Winger,"Aubervilliers, France"
Abdelaziz Barrada,667,Midfielder,"Provins, France"
Michel De Wolf,265,Left back,"Nivelles, Belgium"
Fabio Celestini,533,Midfielder,"Lausanne, Switzerland"
Patrick Blondeau,3557,Right-back,"Marseille, France"
Sébastien Pérez,199,Defender,"Saint-Chamond, France"
Marcel Desailly,19226,"Centre-back, defensive midfielder","Accra, Ghana"
Jérôme Leroy,701,Attacking midfielder,"Béthune, France"
Kevin Strootman,10698,Defensive midfielder,"Ridderkerk, Netherlands"
Jürgen Cavens,36,Striker,"Broechem, Belgium"
Daniel Montenegro,612,Attacking midfielder,"Buenos Aires, Argentina"
Steve Mandanda,15396,Goalkeeper,"Kinshasa, Zaire"
Zinédine Machach,1597,Midfielder,"Marseille, France"
Benjamin Mendy,56398,Left-back,"Longjumeau, France"
Pascal Johansen,67,Midfielder,"Colmar, France"
Jordan Veretout,8462,Midfielder,"Ancenis, France"
Bruno Germain,390,Defensive midfielder,"Orléans, France"
Mauricio Isla,5918,"Right back, midfielder","Buin, Chile"
Jovan Stanković,575,Midfielder,"Pirot, SFR Yugoslavia"
Florian Chabrolle,888,Striker,"Montmorency, France"
Mamadou Samassa,675,Forward,"Montfermeil, France"
Basile Boli,3455,Defender,"Abidjan, Ivory Coast"
Johnny Ecker,61,Defender,"Rouen, France"
Stéphane Dalmat,1272,Midfielder,"Joué-lès-Tours, France"
Fernando Morientes,15559,Striker,"Cilleros, Spain"
Yusuf Sari,1362,Winger,"Martigues, France"
Boudewijn Zenden,7017,Midfielder,"Maastricht, Netherlands"
Fabrice Apruzesse,416,Forward,"Marseille, France"
Mehdi Ben Slimane,241,Forward,"Le Kram, Tunisia"
Therry Racon,158,Midfielder,"Villeneuve-Saint-Georges, France"
Eric Cantona,77391,Forward,
Franck Passi,666,Midfielder,"Bergerac, France"
Gabriel Heinze,14746,Defender,"Crespo, Argentina"
Fabien Barthez,22248,Goalkeeper,"Lavelanet, France"
Laurent Spinosi,96,Goalkeeper,"Marseille, France"
Miladin Bečanović,92,Striker,"Nikšić, SFR Yugoslavia"
Nemanja Radonjić,5600,Winger,"Niš, Serbia, FR Yugoslavia"
William Gallas,14361,Centre back,"Asnières-sur-Seine, France"
Julien Rodriguez,534,Centre back,"Béziers, France"
Jocelyn Gourvennec,2372,Midfielder,"Brest, France"
Klas Ingesson,1071,Midfielder,"Ödeshög, Sweden"
Bilal Boutobba,488,Winger,"Marseille, France"
Habib Bamogo,250,Deep-lying striker,"Paris, France"
Daniel Xuereb,361,Striker,"Gardanne, France"
Jean-Jacques Eydelie,503,Midfielder,"Angoulême, France"
André-Frank Zambo Anguissa,9584,Defensive midfielder,"Yaoundé, Cameroon"
Rémy Cabella,5767,Attacking midfielder,"Ajaccio, France"
Marcel Dib,108,Midfielder,"Marseille, France"
